Z [m],	k[m2/s2]
69.5258,		0.00651
69.8258, 	0.00638
71.5258,	 	0.00592
72.5258,	 	0.00575
73.5258,	 	0.00561
74.5258,	 	0.00550
75.5258,	 	0.00541
76.5258,	 	0.00532
77.5258,	 	0.00525
78.5258,	 	0.00518
79.5258,	 	0.00512
80.5258,	 	0.00506
81.5258,	 	0.00501
82.5258,	 	0.00496
83.5258,	 	0.00491
84.5258,	 	0.00487
85.5258,	 	0.00483
86.5258,	 	0.00479
87.5258,	 	0.00475
418.5258, 	0.00259
