Z [m],	epsilon[m2/s3]
69.5258,		0.0001240
69.8258,	0.0000971
71.5258,		0.0000443
72.5258,		0.0000337
73.5258,		0.0000272
74.5258,		0.0000228
75.5258,		0.0000197
76.5258,		0.0000173
77.5258,		0.0000154
78.5258,		0.0000139
79.5258,		0.0000127
80.5258,		0.0000117
81.5258,		0.0000108
82.5258,		0.0000100
83.5258,		0.0000094
84.5258,		0.0000088
85.5258,		0.0000083
86.5258,		0.0000078
87.5258,		0.0000074
418.5258,	0.0000003 
