Z [m],	k[m2/s2]
69.5258,		0.19376682
69.8258, 	0.189711373
71.5258,	 	0.175998216
72.5258,	 	0.171000932
73.5258,	 	0.167025852
74.5258,	 	0.163714011
75.5258,	 	0.160869198
76.5258,	 	0.158371978
77.5258,	 	0.15614404
78.5258,	 	0.15413116
79.5258,	 	0.152294183
80.5258,	 	0.150603879
81.5258,	 	0.149037834
82.5258,	 	0.147578466
83.5258,	 	0.146211726
84.5258,	 	0.1449262
85.5258,	 	0.143712488
86.5258,	 	0.142562753
87.5258,	 	0.14147039
418.5258, 	0.077161365
