Z [m],	epsilon[m2/s3]
69.5258,		0.020119244
69.8258,	0.015760637
71.5258,		0.007182695
72.5258,		0.005464869
73.5258,		0.004415617
74.5258,		0.003706718
75.5258,		0.003195007
76.5258,		0.002807916
77.5258,		0.002504676
78.5258,		0.002260595
79.5258,		0.002059832
80.5258,		0.001891753
81.5258,		0.001748948
82.5258,		0.001626097
83.5258,		0.001519277
84.5258,		0.001425533
85.5258,		0.001342595
86.5258,		0.001268693
87.5258,		0.001202423
418.5258,	0.000055116 
